Generation	Smiles
3	C(C(C(CC(CO)(CO)O)=O)O)=O
3	C(C(C(C(CO)=O)O)O)=O
3	C(CO)(C(C(C)(C(CO)O)O)O)=O
3	C(C(CO)O)(CC(CO)(CO)O)=O
3	C(C(C(C(CCO)=O)O)O)(CO)=O
3	C(C(CCO)(C(C(CO)=O)O)O)=O
3	C(C(C(CO)C(CO)(CO)O)=O)=O
3	C(CO)(C(C(CO)(CCO)O)O)=O
3	C(C(C(CO)(CO)O)O)(CCO)=O
3	C(CO)(C(CO)C(CO)(CO)O)=O
3	C(C(C(C(C(CO)=O)O)O)O)=O
3	C(CO)(C(C(CO)(C)O)O)=O
3	C(CO)(CC(CO)(CO)O)=O
3	C(C)(C(C(CO)(CO)O)O)=O
3	C(CC(C(C(C(CO)=O)O)O)O)=O
3	C(C(CC(C(C(CO)=O)O)O)O)=O
3	C(C(C(CO)(CO)O)C(C=O)O)=O
3	C(CO)(C(C(C)O)O)=O
3	C(CC(CO)(CO)O)=O
3	C(CO)(C(C(CNC)O)O)=O
3	C(C(C(CO)(CO)O)NC)=O
3	C(C(C)(CC(C=O)=O)O)=O
3	C(CO)(CC(CC(C=O)=O)O)=O
3	C(CC(CO)(CC(C=O)=O)O)=O
3	C(C(C(CO)=O)C(C(C)=O)O)=O
3	C(C(C)(C(C=O)C(CO)=O)O)=O
3	C(CC(C(C(C(C)=O)O)O)=O)=O
3	C(C(C)(C(C(CC=O)=O)O)O)=O
3	C(C)(C(C(CC(C=O)=O)O)O)=O
3	C(C(C(C)(CC(C=O)=O)O)O)=O
3	C(C(C(CC(C(C)=O)O)=O)O)=O
3	C(C(C)(CC(C(C=O)O)=O)O)=O
3	C(C(CC(C=O)=O)O)=O
3	C(C(CC(C)(C(CO)O)O)=O)=O
3	C(CC(C(C)=O)O)(C(CO)O)=O
3	C(C(C)(CC(C(CO)O)=O)O)=O
3	C(C(CC(C=O)=O)O)(CCO)=O
3	C(C(CCO)(CC(C=O)=O)O)=O
3	C(C(C(C(C=O)=O)CO)O)(C)=O
3	C(C(C)(C(C(C=O)=O)CO)O)=O
3	C(C(CC(CO)(CCO)O)=O)=O
3	C(C(C(C(CCO)=O)O)O)(C)=O
3	C(C(C)(C(C(CCO)=O)O)O)=O
3	C(CO)(C(CO)C(C(C)=O)O)=O
3	C(C(C)(C(C(CO)=O)CO)O)=O
3	C(C(C(CC(C=O)=O)O)O)=O
3	C(C(CC(C)(CO)O)=O)=O
3	C(C)(C(CC(CO)=O)O)=O
3	C(C(C)(CC(CO)=O)O)=O
3	C(C)(C(C(C(C)=O)O)O)=O
3	C(C(C)(C(C(C)=O)O)O)=O
3	C(CC(C(CC(C=O)=O)O)O)=O
3	C(C(CC(CC(C=O)=O)O)O)=O
3	C(C(C(C=O)C(C(C)=O)O)O)=O
3	C(C(C(C=O)C(C=O)(C)O)O)=O
3	C(C(C(C(CC(C=O)=O)O)O)O)=O
3	C(C(CC(C)O)=O)=O
3	C(CC(C(C)=O)O)=O
3	C(C(C)(CC=O)O)=O
3	C(C(CC(CO)(C(CO)O)O)=O)=O
3	C(C(C(C(C(CO)O)=O)O)O)(C)=O
3	C(C(C)(C(C(C(CO)O)=O)O)O)=O
3	C(C(CC(CNC)O)=O)=O
3	C(C(C(C(C)=O)O)NC)=O
3	C(C(C)(C(C=O)NC)O)=O
3	C(CNCC(CC(C=O)=O)O)(O)=O
3	C(CNC(C=O)C(C(C)=O)O)(O)=O
3	C(CNC(C=O)C(C=O)(C)O)(O)=O
3	C(C(C(CO)=O)C(C=O)O)=O
3	C(CC(C(C(C=O)O)O)=O)=O
3	C(C(C(C(C=O)C(CO)=O)O)O)=O
3	C(CC(C(C(C(C=O)O)O)O)=O)=O
3	C(C(C(CO)=O)C(CO)(C)O)=O
3	C(CC(C(C(CO)(C)O)O)=O)=O
3	C(CO)(CC(CC(CO)=O)O)=O
3	C(CC(CO)(CC(CO)=O)O)=O
3	C(C)(C(C(CC(CO)=O)O)O)=O
3	C(CC(CO)(C(C(C)=O)O)O)=O
3	C(C(C(CO)=O)C(C)O)=O
3	C(CC(C(C(C)O)O)=O)=O
3	C(CC(CC(CO)=O)O)=O
3	C(CC(CO)(CC=O)O)=O
3	C(C(C(CO)=O)C(CNC)O)=O
3	C(CC(C(C(CNC)O)O)=O)=O
3	C(C(C(CC(CO)=O)O)NC)=O
3	C(CC(CO)(C(C=O)NC)O)=O
