Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,spontaneous_point,spontaneous_95
1322_1,-1.377446920979878,4.372767413564552,True,True,False
1324_0,-3.189179673137687,4.285691765421502,True,True,False
1324_1,-3.189179673137687,4.285691765421502,True,True,False
1326_0,-7.704122302154133,1.0089001392175116,True,True,True
1326_1,-7.704122302154133,1.0089001392175116,True,True,True
1328_0,-7.704156807729021,1.0089001392175116,True,True,True
1328_1,-7.704156807729021,1.0089001392175116,True,True,True
1330_0,354.8010661197635,100000.00008450064,False,False,False
1330_1,354.8010661197635,100000.00008450064,False,False,False
1332_0,354.80107423769624,100000.00008450064,False,False,False
1332_1,354.80107423769624,100000.00008450064,False,False,False
1334_0,-7.704156807729078,1.0089001392175119,True,True,True
1334_1,-7.704156807729078,1.0089001392175119,True,True,True
1336_0,49.56324261281691,7.786482642668204,True,False,False
1336_1,49.56324261281691,7.786482642668204,True,False,False
1338_0,-7.704156807729021,1.0089001392175116,True,True,True
1338_1,-7.704156807729021,1.0089001392175116,True,True,True
1340_0,-22.294610115092553,4.053341410431433,True,True,True
1340_1,-22.294610115092553,4.053341410431433,True,True,True
1342_0,-7.704156807728907,1.008900139217512,True,True,True
1342_1,-7.704156807728907,1.008900139217512,True,True,True
1344_0,359.6202204728729,100000.00011171526,False,False,False
1344_1,359.6202204728729,100000.00011171526,False,False,False
1346_0,54.38239696592632,8.08774628565335,True,False,False
1346_1,54.38239696592632,8.08774628565335,True,False,False
1348_0,-17.475455761983312,4.720230759695235,True,True,True
1348_1,-17.475455761983312,4.720230759695235,True,True,True
1350_0,-7.704122302154133,1.0089001392175116,True,True,True
1350_1,-7.704122302154133,1.0089001392175116,True,True,True
1352_0,-1.4189636423189995,2.110730699325506,True,True,False
1352_1,-1.4189636423189995,2.110730699325506,True,True,False
1354_0,-6.06150872103683,1.8092514714994912,True,True,True
1354_1,-6.06150872103683,1.8092514714994912,True,True,True
1356_0,-7.873241473194639,1.6592820463578148,True,True,True
1356_1,-7.873241473194639,1.6592820463578148,True,True,True
1358_0,359.44361195228157,100000.0000885182,False,False,False
1358_1,359.44361195228157,100000.0000885182,False,False,False
1360_0,54.20578769153474,7.793270988560825,True,False,False
1360_1,54.20578769153474,7.793270988560825,True,False,False
1362_0,-17.649061530262998,4.210906739282085,True,True,True
1362_1,-17.649061530262998,4.210906739282085,True,True,True
1364_0,-7.704156807728964,1.0089001392175116,True,True,True
1364_1,-7.704156807728964,1.0089001392175116,True,True,True
1366_0,-1.418998147894058,2.110730699325506,True,True,False
1366_1,-1.418998147894058,2.110730699325506,True,True,False
1368_0,-6.061543226611775,1.809251471499491,True,True,True
1368_1,-6.061543226611775,1.809251471499491,True,True,True
1370_0,-7.87327597876947,1.6592820463578148,True,True,True
1370_1,-7.87327597876947,1.6592820463578148,True,True,True
1372_0,-22.291606608980715,4.0533414104314325,True,True,True
1372_1,-22.291606608980715,4.0533414104314325,True,True,True
1374_0,354.80106611976356,100000.00008450064,False,False,False
1374_1,354.80106611976356,100000.00008450064,False,False,False
1376_0,361.08622477959847,100000.00009934124,False,False,False
1376_1,361.08622477959847,100000.00009934124,False,False,False
1378_0,356.44367970088075,100000.00009550841,False,False,False
1378_1,356.44367970088075,100000.00009550841,False,False,False
1380_0,354.6319469487229,100000.0000920112,False,False,False
1380_1,354.6319469487229,100000.0000920112,False,False,False
1382_0,340.2106135662002,100000.000164381,False,False,False
1382_1,340.2106135662002,100000.000164381,False,False,False
1384_0,354.6319550666557,100000.0000920112,False,False,False
1384_1,354.6319550666557,100000.0000920112,False,False,False
1386_0,-7.873275978769584,1.659282046357815,True,True,True
1386_1,-7.873275978769584,1.659282046357815,True,True,True
1388_0,49.56324261281702,7.786482642668204,True,False,False
1388_1,49.56324261281702,7.786482642668204,True,False,False
1390_0,-22.29461011509261,4.053341410431433,True,True,True
1390_1,-22.29461011509261,4.053341410431433,True,True,True
1392_0,-7.704156807728964,1.0089001392175119,True,True,True
1392_1,-7.704156807728964,1.0089001392175119,True,True,True
1394_0,55.84840127265193,7.955368714488624,True,False,False
1394_1,55.84840127265193,7.955368714488624,True,False,False
1396_0,51.20585619393421,7.951042280673617,True,False,False
1396_1,51.20585619393421,7.951042280673617,True,False,False
1398_0,-16.009451455257818,4.445526766803067,True,True,True
1398_1,-16.009451455257818,4.445526766803067,True,True,True
1400_0,-20.65199653397542,4.300871072133563,True,True,True
1400_1,-20.65199653397542,4.300871072133563,True,True,True
1402_0,-1.418998147894058,2.1107306993255066,True,True,False
1402_1,-1.418998147894058,2.1107306993255066,True,True,False
1404_0,-6.061543226611775,1.8092514714994914,True,True,True
1404_1,-6.061543226611775,1.8092514714994914,True,True,True
1406_0,-17.652065036374893,4.210906739282085,True,True,True
1406_1,-17.652065036374893,4.210906739282085,True,True,True
1408_0,-22.294610115092723,4.0533414104314325,True,True,True
1408_1,-22.294610115092723,4.0533414104314325,True,True,True
1410_0,-22.29461011509261,4.0533414104314325,True,True,True
1410_1,-22.29461011509261,4.0533414104314325,True,True,True
1412_0,-22.29461011509261,4.0533414104314325,True,True,True
1412_1,-22.29461011509261,4.0533414104314325,True,True,True
1414_0,-22.294610115092723,4.0533414104314325,True,True,True
1414_1,-22.294610115092723,4.0533414104314325,True,True,True
1416_0,-17.652065036374893,4.210906739282085,True,True,True
1416_1,-17.652065036374893,4.210906739282085,True,True,True
1418_0,49.3941234417764,7.920664812438186,True,False,False
1418_1,49.3941234417764,7.920664812438186,True,False,False
1420_0,34.97278930545326,8.561966264723209,True,False,False
1420_1,34.97278930545326,8.561966264723209,True,False,False
1422_0,39.61533438417098,8.57300706474246,True,False,False
1422_1,39.61533438417098,8.57300706474246,True,False,False
1424_0,34.97278930545326,8.561966264723209,True,False,False
1424_1,34.97278930545326,8.561966264723209,True,False,False
1426_0,-7.873275978769527,1.659282046357815,True,True,True
1426_1,-7.873275978769527,1.659282046357815,True,True,True
1428_0,-22.463729286133173,4.217729237533423,True,True,True
1428_1,-22.463729286133173,4.217729237533423,True,True,True
1430_0,-7.87327597876947,1.6592820463578148,True,True,True
1430_1,-7.87327597876947,1.6592820463578148,True,True,True
1432_0,-36.88205991634436,7.869745073875063,True,True,True
1432_1,-36.88205991634436,7.869745073875063,True,True,True
1434_0,-3.0200432083037185,4.106491609521812,True,True,False
1434_1,-3.0200432083037185,4.106491609521812,True,True,False
1436_0,-7.704139513935502,1.0089001392175116,True,True,True
1436_1,-7.704139513935502,1.0089001392175116,True,True,True
1438_0,-7.704139513935502,1.0089001392175116,True,True,True
1438_1,-7.704139513935502,1.0089001392175116,True,True,True
1440_0,-2.8849851608262043,2.630350120851888,True,True,False
1440_1,-2.8849851608262043,2.630350120851888,True,True,False
1442_0,-3.061594435217671,1.4955318154526003,True,True,True
1442_1,-3.061594435217671,1.4955318154526003,True,True,True
1443_0,-7.704139513935388,1.0089001392175116,True,True,True
1443_1,-7.704139513935388,1.0089001392175116,True,True,True
1444_0,354.80108341355697,100000.00008450064,False,False,False
1444_1,354.80108341355697,100000.00008450064,False,False,False
1446_0,-7.704139513935388,1.0089001392175116,True,True,True
1446_1,-7.704139513935388,1.0089001392175116,True,True,True
1448_0,-1.4189808541004822,2.110730699325506,True,True,False
