INCHIKEY	Generation	NetworkSmiles	MinimumPathwayLength	MinimumPathwayEnergy
RASQNAXRXNXRFZ	G3	C(C(C(CN)O)(C(CO)N)O)=O	3	-57.06
YFWJYQZZYOHJPS	G3	C(C(CO)(CO)N)=O	3	-66.5
XPSKCZZNEAMINR	G3	C(C(CO)(C(CO)O)N)=O	NaN	NaN
KNWXMEXZFWGIPP	G3	C(CO)(C(CO)(CO)O)=O	3	-45.34
SOHAKCGLYBHNOI	G3	C(CN)(C(CO)(CO)O)=O	NaN	NaN
DJXPGACXRCJPRD	G3	C(C(CO)(CNCC=O)O)=O	3	-102.49
WVYAXGDPEPHEBB	G3	C(C(CO)(CN)O)=O	3	-77.91
JEWROQQYJFAKMC	G3	C(C(CO)(C(CO)N)O)=O	3	-54.95
JKHLEYMNCWYUHN	G3	C(C(C(CO)O)(C(CO)O)N)=O	NaN	NaN
CSUKPWGXJYCOEK	G3	C(CN)(C(CO)(C(CO)O)O)=O	NaN	NaN
UZMKAOBHDMJGHD	G3	C(C(C(C)=O)(C(CO)O)O)=O	3	-72.52
UQZFQSGVTNRUAU	G3	C(C(CN)(C(CO)O)O)=O	3	-61.69
GGVIZMXAHBFYNO	G3	C(C(C(CO)O)(C(CO)N)O)=O	3	-38.730000000000004
SHOOZOGINQMSRD	G3	C(C(C(C(C(CN)O)N)O)N)(O)=O	NaN	NaN
VEAHBAJDYVZJNW	G3	C(C(C(C(CO)N)O)N)(O)=O	NaN	NaN
UTYXURGJNOHMGA	G3	C(C(C(C(C(CN)O)O)O)N)(O)=O	NaN	NaN
JSSCSYWOXQLCIO	G3	C(C(C(C(C(CO)O)N)O)N)(O)=O	NaN	NaN
LRHFAIBMHJARNQ	G3	C(C(C(C=O)O)N)(O)=O	NaN	NaN
SYEORJYINVITIJ	G3	C(C(C(CO)(CO)O)N)(O)=O	NaN	NaN
JSDCXYPULRKBAO	G3	C(C(C(CN)(CO)O)N)(O)=O	NaN	NaN
OXGKCBUMEVZTBG	G3	C(C(C(CN)(C(CO)O)O)N)(O)=O	NaN	NaN
CDFAPEFSEUHMFP	G3	C(C(C(CNCC=O)O)N)(O)=O	NaN	NaN
