Generation	Smiles	Inchi	Energy	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms 	VDW Volume	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	Heteroatoms/Carbons	H/C	O/C	ESOL
G5	C(CC1(CO)C(CC(O)O1)O)=O	ZDAJRZQQHVAZDX	21.9822	-1.6452	-0.364	5	3	86.99	-6.3556	5	167.4	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2885645578694998
G5	C(CC1C(CO)(CC(O)O1)O)=O	YPGDNEKDLJFOLD	18.6989	-1.6452	-0.364	5	3	86.99	-5.7905	5	168.03	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2885645578694998
G5	C1(COC(C(C(C)O)O)(C1)O)=O	OERKFRMIEDSANR	394.229	-1.3834	-0.446	5	3	86.99	1.402	5	168.6	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.285113012303542
G5	C1(COC(CC(C)O)(C1O)O)=O	MKBSXGQOUVADRP	383.91	-1.2137	-0.446	5	3	86.99	-1.275	5	166.79	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.285113012303542
G5	CC(C1(COC(C1)O)O)O	YBIJILOVRBSKLV	25.9139	-0.926	-0.386	4	3	69.92	0.10912	4	148.04	148.073558864	C6H12O4	6	12	4	0.6666666666666666	2.0	0.6666666666666666	0.1473290731898968
G5	C(C1C(CC(O1)O)(C(C)O)O)=O	QDASPHCXHYNMIE	383.614	-1.7403	-0.472	5	3	86.99	-3.008	5	168.49	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.28629969062728733
G5	C(C(C1(C(C)OC(C1)O)O)O)=O	ITCCYDKEENCFTL	51.5777	-1.7403	-0.472	5	3	86.99	-1.3588	5	168.84	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.28629969062728733
G5	C(C1(CO)C(CC(O)O1)O)O	IBIGERKPHGAXTQ	42.2744	-1.8873	0.121	5	4	90.15	-2.7309	5	156.49	164.068473484	C6H12O5	6	12	5	0.8333333333333334	2.0	0.8333333333333334	0.8071092296842696
G5	CC(C1(CO)C(CC(O)O1)O)O	SBFVZZCCACRGSU	402.327	-1.528	-0.257	5	4	90.15	-2.1282	5	172.33	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.42619593747680173
G5	CC1(CC(O)OC1(CO)CO)O	GOHIHQOFBDMICU	393.46	-1.5893	0.012	5	4	90.15	-1.1376	5	172.06	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.4250092591530562
