Network	Generation	Smiles
FormoseAmm	G3	C(CC(CO)(C(C=O)N)O)=O
FormoseAmm	G3	C(CC(CO)(C(C=O)O)O)=O
FormoseAmm	G3	C(CC(CO)(C(CO)O)O)=O
FormoseAmm	G3	C(CC(CO)(CN)O)=O
FormoseAmm	G3	C(CC(CO)(CO)O)=O
FormoseAmm	G3	C(CN)(C(C(C(CN)O)O)O)=O
FormoseAmm	G3	C(CN)(C(C(C(CO)N)O)O)=O
FormoseAmm	G3	C(CN)(C(C(C(CO)O)O)O)=O
FormoseAmm	G3	C(CN)(C(C(C)O)O)=O
FormoseAmm	G3	C(CN)(C(C(CN)O)O)=O
FormoseAmm	G3	C(CN)(C(C(CO)(CN)O)O)=O
FormoseAmm	G3	C(CN)(C(C(CO)(CO)O)O)=O
FormoseAmm	G3	C(CN)(C(C(CO)O)O)=O
FormoseAmm	G3	C(CN)(C(CN)O)=O
FormoseAmm	G3	C(CN)(C(CNCC=O)O)=O
FormoseAmm	G3	C(CN)(C(CNCCO)O)=O
FormoseAmm	G3	C(CN)(C(CO)(C(C)O)O)=O
FormoseAmm	G3	C(CN)(C(CO)(C(C=O)O)O)=O
FormoseAmm	G3	C(CN)(C(CO)(C(CN)O)O)=O
FormoseAmm	G3	C(CN)(C(CO)(C(CO)O)O)=O
FormoseAmm	G3	C(CN)(C(CO)(CO)O)=O
FormoseAmm	G3	C(CN)(C(CO)N)=O
FormoseAmm	G3	C(CN)(C(CO)NCCO)=O
FormoseAmm	G3	C(CNC(C(CN)=O)CO)=O
FormoseAmm	G3	C(CNC(C(CO)=O)CN)=O
FormoseAmm	G3	C(CNC(C(CO)=O)CO)=O
FormoseAmm	G3	C(CNC(CO)C(CN)O)=O
FormoseAmm	G3	C(CNC(CO)C(CO)O)=O
FormoseAmm	G3	C(CNCC(C(CO)=O)O)=O
FormoseAmm	G3	C(CNCC(C(CO)O)N)=O
FormoseAmm	G3	C(CNCC(CN)=O)(CO)=O
FormoseAmm	G3	C(CNCC(CN)O)=O
FormoseAmm	G3	C(CNCC(CO)N)=O
FormoseAmm	G3	C(CNCC(CO)O)=O
FormoseAmm	G3	C(CNCC=O)(C(CN)O)=O
FormoseAmm	G3	C(CNCC=O)(C(CO)N)=O
FormoseAmm	G3	C(CNCCN)(C(CO)O)=O
FormoseAmm	G3	C(CNCCO)(C(CN)O)=O
FormoseAmm	G3	C(CNCCO)(C(CO)N)=O
FormoseAmm	G3	C(CNCCO)(C(CO)O)=O
FormoseAmm	G3	C(CNCCO)(CN)=O
FormoseAmm	G3	C(CO)(C(C(C(C)=O)O)N)=O
