Network	Generation	Smiles
Formose	G4	C(C(CO)C(C(C(C)O)O)O)=O
Formose	G4	C(C(CO)C(C(C)=O)(CO)O)=O
Formose	G4	C(C(CO)C(C(C=O)CO)O)=O
Formose	G4	C(C(CO)C(C(C=O)O)O)=O
Formose	G4	C(C(CO)C(C(CC=O)O)O)=O
Formose	G4	C(C(CO)C(C(CCO)=O)O)=O
Formose	G4	C(C(CO)C(C(CCO)O)O)=O
Formose	G4	C(C(CO)C(C(CO)=O)(C)O)=O
Formose	G4	C(C(CO)C(C(CO)=O)O)=O
Formose	G4	C(C(CO)C(C(CO)O)O)=O
Formose	G4	C(C(CO)C(C)(C(C=O)O)O)=O
Formose	G4	C(C(CO)C(C)(C(CO)O)O)=O
Formose	G4	C(C(CO)C(C)(CO)O)=O
Formose	G4	C(C(CO)C(C=O)(C(C)O)O)=O
Formose	G4	C(C(CO)C(C=O)(CCO)O)=O
Formose	G4	C(C(CO)C(C=O)(CO)O)=O
Formose	G4	C(C(CO)C(CC(C)O)O)=O
Formose	G4	C(C(CO)C(CC(C=O)O)O)=O
Formose	G4	C(C(CO)C(CC(CO)=O)O)=O
Formose	G4	C(C(CO)C(CC(CO)O)O)=O
Formose	G4	C(C(CO)C(CCO)O)=O
Formose	G4	C(C(CO)C(CO)(CC=O)O)=O
Formose	G4	C(C(CO)C(CO)(CCO)O)=O
Formose	G4	C(C(CO)C(CO)(CO)O)=O
Formose	G4	C(C(CO)C(CO)O)=O
Formose	G4	C(C(CO)O)(C(C(C)=O)O)=O
Formose	G4	C(C(CO)O)(C(C(C=O)=C)O)=O
Formose	G4	C(C(CO)O)(C(C)O)=O
Formose	G4	C(C(CO)O)(C(C=C)O)=O
Formose	G4	C(C(CO)O)(C(C=CC=O)O)=O
Formose	G4	C(C(CO)O)(C(CO)CO)=O
Formose	G4	C(C(CO)O)(CC(C)O)=O
Formose	G4	C(C(CO)O)(CC(CCO)O)=O
Formose	G4	C(C(CO)O)(CC(CO)(C)O)=O
Formose	G4	C(C(CO)O)(CC(CO)=O)=O
Formose	G4	C(C(CO)O)(CC(CO)O)=O
Formose	G4	C(C(CO)O)(CCO)=O
Formose	G4	C(C)(C(C(C(C(C)=O)O)O)O)=O
Formose	G4	C(C)(C(C(C(C(C)O)O)O)O)=O
Formose	G4	C(C)(C(C(C(CCO)O)O)O)=O
Formose	G4	C(C)(C(C(C(CO)O)O)O)=O
Formose	G4	C(C)(C(C(C)(C(CO)O)O)O)=O
Formose	G4	C(C)(C(C(C)O)(C(C=O)O)O)=O
Formose	G4	C(C)(C(C(CC(C)O)O)O)=O
Formose	G4	C(C)(C(C(CC(CO)=O)O)O)=O
Formose	G4	C(C)(C(C(CC(CO)O)O)O)=O
Formose	G4	C(C)(C(C(CCO)O)O)=O
Formose	G4	C(C)(C(C(CO)(C)O)O)=O
Formose	G4	C(C)(C(C(CO)(CCO)O)O)=O
Formose	G4	C(C)(C(C(CO)(CO)O)O)=O
Formose	G4	C(C)(C(C(CO)=O)(CO)O)=O
Formose	G4	C(C)(C(C(CO)O)(CC=O)O)=O
Formose	G4	C(C)(C(C(CO)O)O)=O
Formose	G4	C(C)(C(CO)(C(C(C)=O)O)O)=O
Formose	G4	C(C)(C(CO)(C(C)O)O)=O
Formose	G4	C(C)(C(CO)(C(C=O)O)O)=O
Formose	G4	C(C)(C(CO)(C(CCO)O)O)=O
Formose	G4	C(C)(C(CO)(C(CO)(C)O)O)=O
Formose	G4	C(C)(C(CO)(C(CO)O)O)=O
Formose	G4	C(C)(C(CO)(CC(CO)=O)O)=O
Formose	G4	C(C)(C(CO)(CO)O)=O
Formose	G4	C(C)(C1(C(C(C(C1)=O)O)O)O)=O
Formose	G4	C(C)(C1(C(CC(C1O)=O)O)O)=O
Formose	G4	C(C)(C1(C(O)OCC1O)O)=O
Formose	G4	C(C1(C(C(C(C1)=O)O)O)O)=O
Formose	G4	C(C1(C(C(C(C1)O)O)O)O)=O
Formose	G4	C(C1(C(C(CC1O)O)O)O)=O
Formose	G4	C(C1(C(C(CO1)O)O)O)=O
Formose	G4	C(C1(C(C)(CC(C1O)=O)O)O)=O
Formose	G4	C(C1(C(C)(O)OCC1O)O)=O
Formose	G4	C(C1(C(CC(C)(C1O)O)=O)O)=O
Formose	G4	C(C1(C(CC(C1(C)O)O)=O)O)=O
Formose	G4	C(C1(C(CC(C1)O)O)O)=O
Formose	G4	C(C1(C(CC(C1O)=O)O)O)=O
Formose	G4	C(C1(C(CC(C1O)O)=O)O)=O
Formose	G4	C(C1(C(CC(CC1O)O)=O)O)=O
Formose	G4	C(C1(C(CO)C(C(C1)=O)O)O)=O
Formose	G4	C(C1(C(CO)C(CO1)O)O)=O
Formose	G4	C(C1(C=O)C(C(CC1O)O)O)=O
Formose	G4	C(C1(CC(C(C(C1)=O)O)O)O)=O
Formose	G4	C(C1(CC(CC(C1O)=O)O)O)=O
Formose	G4	C(C1(CC(CC1(C=O)O)O)O)=O
Formose	G4	C(C1(COC(C)(C1O)O)O)=O
Formose	G4	C(C1(COC(C1(C)O)O)O)=O
Formose	G4	C(C1(COC(C1O)O)O)=O
Formose	G4	C(C1C(C(C(C)(C1O)O)O)=O)=O
Formose	G4	C(C1C(C(C(C)(O1)O)O)O)=O
Formose	G4	C(C1C(C(C(C1(C)O)O)O)=O)=O
Formose	G4	C(C1C(C(C(C1O)=O)CO)O)=O
Formose	G4	C(C1C(C(C(C1O)O)O)=O)=O
Formose	G4	C(C1C(C(C(C1O)O)O)O)=O
Formose	G4	C(C1C(C(C(CC1O)O)O)=O)=O
Formose	G4	C(C1C(C(C=O)(CC1O)O)O)=O
Formose	G4	C(C1C(C(C=O)C(C1O)O)O)=O
Formose	G4	C(C1C(C(CC(C1O)=O)O)O)=O
Formose	G4	C(C1C(C(CC1(C=O)O)O)O)=O
Formose	G4	C(C1C(C(CC1O)O)O)=O
Formose	G4	C(C1C(C(O)OCC1O)O)=O
Formose	G4	C(C1C(CC(C(C1O)O)=O)O)=O
Formose	G4	C(C1C(CC(C1(C=O)O)O)O)=O
Formose	G4	C(C1C(CO)(CC(C1O)=O)O)=O
Formose	G4	C(C1C(CO)(O)OCC1O)=O
Formose	G4	C(C1C(CO)OC(C1O)O)=O
Formose	G4	C(C1C(O)OC(CO)C1O)=O
Formose	G4	C(C1C(O)OCC(C1O)O)=O
Formose	G4	C(C1C(O)OCC1(CO)O)=O
Formose	G4	C(CC(C(C(C(C)=O)O)O)O)=O
Formose	G4	C(CC(C(C(C)=O)(CO)O)O)=O
Formose	G4	C(CC(C(C(C)=O)O)O)(O)=O
Formose	G4	C(CC(C(C(C)O)=O)O)(CO)=O
Formose	G4	C(CC(C(C(C)O)O)O)=O
Formose	G4	C(CC(C(C(CC=O)O)O)O)=O
Formose	G4	C(CC(C(C(CCO)=O)O)O)=O
Formose	G4	C(CC(C(C(CCO)O)O)=O)=O
Formose	G4	C(CC(C(C(CO)(C)O)O)=O)=O
Formose	G4	C(CC(C(C(CO)=O)CO)O)=O
Formose	G4	C(CC(C(C(CO)CO)=O)O)=O
Formose	G4	C(CC(C(C(CO)O)=O)O)=O
Formose	G4	C(CC(C(C)(C(C=O)O)O)O)=O
Formose	G4	C(CC(C(C)=O)O)(C(CO)O)=O
Formose	G4	C(CC(C(CC(CO)=O)O)O)=O
Formose	G4	C(CC(C(CC(CO)O)=O)O)=O
Formose	G4	C(CC(C(CCO)=O)O)(CO)=O
Formose	G4	C(CC(C(CCO)O)O)=O
Formose	G4	C(CC(C(CO)(C(C)O)O)=O)=O
Formose	G4	C(CC(C(CO)(C(C)O)O)O)=O
Formose	G4	C(CC(C(CO)(CC=O)O)O)=O
Formose	G4	C(CC(C(CO)(CO)O)=O)=O
Formose	G4	C(CC(C(CO)=O)O)(O)=O
Formose	G4	C(CC(C(CO)C(C=O)O)O)=O
Formose	G4	C(CC(C(CO)C(CO)O)=O)=O
Formose	G4	C(CC(C(CO)O)(CC=O)O)=O
Formose	G4	C(CC(C(CO)O)O)(O)=O
Formose	G4	C(CC(C(O)=O)O)(O)=O
Formose	G4	C(CC(C)(C(C(C=O)O)O)O)=O
Formose	G4	C(CC(C)(C(CO)O)O)=O
Formose	G4	C(CC(C=O)O)(C(C(C)O)O)=O
Formose	G4	C(CC(CC(C(C=O)O)O)O)=O
Formose	G4	C(CC(CC(C(CO)O)=O)O)=O
Formose	G4	C(CC(CC(C(CO)O)O)=O)=O
Formose	G4	C(CC(CC(C(CO)O)O)O)=O
Formose	G4	C(CC(CC(CO)(CO)O)O)=O
Formose	G4	C(CC(CC(CO)=O)O)(O)=O
Formose	G4	C(CC(CC(CO)O)O)=O
Formose	G4	C(CC(CCO)(C(C=O)O)O)=O
Formose	G4	C(CC(CO)(C(C(C)=O)O)O)=O
Formose	G4	C(CC(CO)(C(C(C)O)O)O)=O
Formose	G4	C(CC(CO)(C(C)O)O)=O
